id	name	parent	d2p
0	0*	12	1.031502389622764
1	1*	12	1.031502389622764
2	0*_5	13	1.4006159649790577
3	2*	16	2.3562980938023736
4	2*_6	15	2.027122493365317
5	2*_8	14	1.785772857091979
6	2*_7	11	0.20688843174405935
7	2*_9	11	0.20688843174405935
8	3*	19	5.739617822462884
9	4*	17	2.776857126587517
10	4*_10	17	2.776857126587517
11	2*_d_9	14	1.5788844253479197
12	0*1*_s_4_id	13	0.36911357535629374
13	0*1*_d_5	18	2.321788552197713
14	2*_d_8	15	0.24134963627333783
15	2*_d_7	16	0.32917560043705674
16	2*_t_6	18	1.3661064233743971
17	4*_d_10	20	3.2442491943435137
18	0*1*2*_s_3_id	19	2.0172133052861136
19	0*1*2*3*_i_2_id	20	0.2814884984681463
20	0*1*2*3*4*_s_1_id	None	None
